人类	全人类
人手	人员
劳力	劳动力
匹夫	个人
家伙	东西
每人	每位
该人	此人
人民	民
群众	大众
众人	人人
人海	人群
大家	大伙儿
们	辈
我	咱
老朽	老汉
小弟	兄弟
奴	妾
朕	孤
职	卑职
贫道	小道
我们	咱
老兄	仁兄
老弟	贤弟
大嫂	大姐
阁下	足下
陛下	主公
您老	你咯
你们	尔等
诸位	各位
他	她
他们	她们
自己	自家
别人	旁人
谁	哪个
某人	某
谁	孰
男人	男子
爷儿	爷们
先生	子
女人	女子
女流	女人家
少妇	婆娘
姑娘	少女
仕女	贵妇人
贱人	祸水
村姑	农家女
男女	士女
老人	老
老朽	风中之烛
老寿星	寿星
公公	爷爷青年
老奶奶	老太婆
老太太	老婆婆
老家伙	老糊涂
成年人	壮年人
老小	老少
青年人	小伙子
知识青年	知青
少年人	少年
芝兰	龙驹
婴儿	婴孩
宝宝	宝贝
儿童	孩童
妞	妮子
顽童	小淘气
男童	男孩儿
高个儿	高个子
细高挑儿	长子
矮子	矮个儿
胖子	大块头
瘦子	骨头架子
美女	美人
丑八怪	夜叉
麻子	麻脸
秃子	癞子
豁嘴	豁子
结巴	结子
居民	居者
市民	城里人
乡民	乡下人
船民	水上居民
侨民	侨
本国人	国人
外国人	外侨
洋鬼子	鬼子
外族人	外族
中国人	华人
本地人	当地人
村里人	全村人
外乡人	异乡人
同乡	老乡
职工	员工
职员	干部
公务员	勤务员
秘书	文牍
总务	庶务
会计	会计师
掮客	经纪人
从业员	营业员
列车员	乘务员
广播员	播音员
理发员	理发师
空姐	空中小姐
消防人	消防员
承运人	发运人
供给者	供应者
编选者	编委
勘察者	勘探者
工人	工
工匠	匠人
老师傅	师傅
壮工	小工
短工	零工
苦工	苦力
学徒工	徒工
木工	木匠
瓦工	泥工
石工	石匠
油漆工	漆工
花匠	园丁
画匠	画工
成衣匠	裁缝
鞋匠	皮匠
铁工	铁匠
海员	船员
领航员	引水员
船夫	船工
舵手	掌舵
驾驶员	司机
飞行员	航空员
宇航员	航天员
驭手	御手
操作员	操纵员
搬运工	挑夫
炊事员	厨师
火夫	司炉
邮递员	邮差
交通员	交通
联络员	联络官
门房	号房
服务员	招待员
堂倌	酒家
清洁工	清道夫
勤杂工	工友
农民	农夫
小农	老农
佃农	佃户
上中农	富裕中农
牧民	牧人
渔民	渔翁
猎手	猎人
樵夫	樵
饲养员	倌
羊倌	羊工
放牛郎	牛郎
马夫	马倌
屠夫	屠户
商人	商贩
商旅	行商
小贩	摊贩
客帮	客商
卖家	卖方
军官	武官
指挥员	指挥官
总司令	司令员
将领	将军
副将	偏将
虎将	猛将
老总	长官
将士	官兵
军人	武人
荣誉军人	荣军
边防军	戍边人
士兵	兵士
女兵	娘子军
士	军士
步兵	陆军
骑兵	轻骑
水兵	水师
侦察兵	侦察员
哨兵	卫兵
航空兵	空军
伞兵	空降兵
工兵	工程兵
号兵	司号员
警卫员	警卫
通信员	勤务兵
退伍兵	退伍军人
复员军人	转业军人
老兵	老红军
兵圣	战神
官军	官兵们
情报员	谍报员
敌特	敌探
译电员	分析员
警察	警
人民警察	民警
捕头	警长
侦探	暗探
看守	狱卒
行刑队	刽子手
审判员	审判员
检察官	检察员
律师	辩护律师
征稽	考稽
教师	老师
教官	教练
教养员	保育员
塾师	师傅
学生	生
门生	门下
高足	高徒
寄宿生	住读生
定向招生	委培生
学习者	学人
运动员	选手
裁判员	裁判
医生	医师
国医	中医
良医	名医
太医	御医
助产士	接生员
护士	看护
作者	笔者
执笔人	主笔
译者	翻译
记者	新闻记者
新闻工作者	新闻官
媒体	传媒
编辑	编者
总编辑	总编
创意者	创意人
演员	艺人
明星	影星
女演员	坤角儿
歌手	歌姬
主角	角儿
配角	班底
名角	名伶
生角	生
老生	须生
旦角儿	旦
青衣	正旦
彩旦	丑婆子
丑角	小丑
花脸	净角
大花脸	大面
二花脸	武二花
演职员	演职人员
表演家	表演艺术家
舞者	舞星
知名演员	名演员
琴师	乐师
